名前,グレード,レベル,攻撃力,属性値,防御力
ニヴルブリザード,8,1,716,481,
ニヴルブリザード,9,1,923,663,
ニヴルブリザード,10,1,1191,910,
ニヴルブリザード,10,5,1426,1131,
アイシクルファング改,4,1,234,117,
アイシクルファング改,5,1,334,181,
アイシクルファング改,6,1,430,251,
アイシクルファング改,7,1,555,349,
アイシクルファング改,8,1,716,481,
アイシクルファング改,9,1,923,663,
アイシクルファング改,10,1,1191,910,
アイシクルファング改,10,5,1426,1131,
アイシクルファング改,1,1,1426,1141,
アイシクルファング改,2,1,1441,1141,
アイシクルファング改,3,1,1441,1157,
アイシクルファング改,4,1,1465,1157,
アイシクルファング改,5,1,1465,1157,
アイシクルファング改,6,1,1465,1167,
アイシクルファング改,7,1,1480,1167,
アイシクルファング改,8,1,1480,1183,
アイシクルファング改,9,1,1504,1183,
アイシクルファング改,10,1,1504,1183,
アイシクルファング改,11,1,1504,1193,
アイシクルファング改,12,1,1519,1193,
アイシクルファング改,13,1,1519,1209,
アイシクルファング改,14,1,1543,1209,
アイシクルファング改,15,1,1543,1209,
アイシクルファング改,16,1,1543,1219,
アイシクルファング改,17,1,1558,1219,
アイシクルファング改,18,1,1558,1235,
アイシクルファング改,19,1,1582,1235,
アイシクルファング改,20,1,1582,1235,
アイシクルファング,4,1,234,117,
アイシクルファング,5,1,334,181,
アイシクルファング,6,1,430,251,
アイシクルファング,7,1,555,349,
アイシクルファング,8,1,716,481,
アイシクルファング,9,1,923,663,
アイシクルファング,10,1,1191,910,
アイシクルファング,10,5,1426,1131,
氷牙刀【琥珀】,4,1,234,117,
氷牙刀【琥珀】,5,1,334,181,
氷牙刀【琥珀】,6,1,430,251,
氷牙刀【琥珀】,7,1,555,349,
氷牙刀【琥珀】,8,1,716,481,
氷牙刀【琥珀】,9,1,923,663,
氷牙刀【琥珀】,10,1,1191,910,
氷牙刀【琥珀】,10,5,1426,1131,
氷牙刀【琥珀】,1,1,1426,1141,
氷牙刀【琥珀】,2,1,1441,1141,
氷牙刀【琥珀】,3,1,1441,1157,
氷牙刀【琥珀】,4,1,1465,1157,
氷牙刀【琥珀】,5,1,1465,1157,
氷牙刀【琥珀】,6,1,1465,1167,
氷牙刀【琥珀】,7,1,1480,1167,
氷牙刀【琥珀】,8,1,1480,1183,
氷牙刀【琥珀】,9,1,1504,1183,
氷牙刀【琥珀】,10,1,1504,1183,
氷牙刀【琥珀】,11,1,1504,1193,
氷牙刀【琥珀】,12,1,1519,1193,
氷牙刀【琥珀】,13,1,1519,1209,
氷牙刀【琥珀】,14,1,1543,1209,
氷牙刀【琥珀】,15,1,1543,1209,
氷牙刀【琥珀】,16,1,1543,1219,
氷牙刀【琥珀】,17,1,1558,1219,
氷牙刀【琥珀】,18,1,1558,1235,
氷牙刀【琥珀】,19,1,1582,1235,
氷牙刀【琥珀】,20,1,1582,1235,
アイシクルバッシュ,4,1,234,117,
アイシクルバッシュ,5,1,334,181,
アイシクルバッシュ,6,1,430,251,
アイシクルバッシュ,7,1,555,349,
アイシクルバッシュ,8,1,716,481,
アイシクルバッシュ,9,1,923,663,
アイシクルバッシュ,10,1,1191,910,
アイシクルバッシュ,10,5,1426,1131,
アイシクルバッシュ,1,1,1426,1141,
アイシクルバッシュ,2,1,1441,1141,
アイシクルバッシュ,3,1,1441,1157,
アイシクルバッシュ,4,1,1465,1157,
アイシクルバッシュ,5,1,1465,1157,
アイシクルバッシュ,6,1,1465,1167,
アイシクルバッシュ,7,1,1480,1167,
アイシクルバッシュ,8,1,1480,1183,
アイシクルバッシュ,9,1,1504,1183,
アイシクルバッシュ,10,1,1504,1183,
アイシクルバッシュ,11,1,1504,1193,
アイシクルバッシュ,12,1,1519,1193,
アイシクルバッシュ,13,1,1519,1209,
アイシクルバッシュ,14,1,1543,1209,
アイシクルバッシュ,15,1,1543,1209,
アイシクルバッシュ,16,1,1543,1219,
アイシクルバッシュ,17,1,1558,1219,
アイシクルバッシュ,18,1,1558,1235,
アイシクルバッシュ,19,1,1582,1235,
アイシクルバッシュ,20,1,1582,1235,
トゥースランス改,4,1,234,117,
トゥースランス改,5,1,334,181,
トゥースランス改,6,1,430,251,
トゥースランス改,7,1,555,349,
トゥースランス改,8,1,716,481,
トゥースランス改,9,1,923,663,
トゥースランス改,10,1,1191,910,
トゥースランス改,10,5,1426,1131,
トゥースランス改,1,1,1426,1141,
トゥースランス改,2,1,1441,1141,
トゥースランス改,3,1,1441,1157,
トゥースランス改,4,1,1465,1157,
トゥースランス改,5,1,1465,1157,
トゥースランス改,6,1,1465,1167,
トゥースランス改,7,1,1480,1167,
トゥースランス改,8,1,1480,1183,
トゥースランス改,9,1,1504,1183,
トゥースランス改,10,1,1504,1183,
トゥースランス改,11,1,1504,1193,
トゥースランス改,12,1,1519,1193,
トゥースランス改,13,1,1519,1209,
トゥースランス改,14,1,1543,1209,
トゥースランス改,15,1,1543,1209,
トゥースランス改,16,1,1543,1219,
トゥースランス改,17,1,1558,1219,
トゥースランス改,18,1,1558,1235,
トゥースランス改,19,1,1582,1235,
トゥースランス改,20,1,1582,1235,
トゥースランス,4,1,234,117,
トゥースランス,5,1,334,181,
トゥースランス,6,1,430,251,
トゥースランス,7,1,555,349,
トゥースランス,8,1,716,481,
トゥースランス,9,1,923,663,
トゥースランス,10,1,1191,910,
トゥースランス,10,5,1426,1131,
デュアルトゥース改,4,1,234,117,
デュアルトゥース改,5,1,334,181,
デュアルトゥース改,6,1,430,251,
デュアルトゥース改,7,1,555,349,
デュアルトゥース改,8,1,716,481,
デュアルトゥース改,9,1,923,663,
デュアルトゥース改,10,1,1191,910,
デュアルトゥース改,10,5,1426,1131,
デュアルトゥース改,1,1,1426,1141,
デュアルトゥース改,2,1,1441,1141,
デュアルトゥース改,3,1,1441,1157,
デュアルトゥース改,4,1,1465,1157,
デュアルトゥース改,5,1,1465,1157,
デュアルトゥース改,6,1,1465,1167,
デュアルトゥース改,7,1,1480,1167,
デュアルトゥース改,8,1,1480,1183,
デュアルトゥース改,9,1,1504,1183,
デュアルトゥース改,10,1,1504,1183,
デュアルトゥース改,11,1,1504,1193,
デュアルトゥース改,12,1,1519,1193,
デュアルトゥース改,13,1,1519,1209,
デュアルトゥース改,14,1,1543,1209,
デュアルトゥース改,15,1,1543,1209,
デュアルトゥース改,16,1,1543,1219,
デュアルトゥース改,17,1,1558,1219,
デュアルトゥース改,18,1,1558,1235,
デュアルトゥース改,19,1,1582,1235,
デュアルトゥース改,20,1,1582,1235,
デュアルトゥース,4,1,234,117,
デュアルトゥース,5,1,334,181,
デュアルトゥース,6,1,430,251,
デュアルトゥース,7,1,555,349,
デュアルトゥース,8,1,716,481,
デュアルトゥース,9,1,923,663,
デュアルトゥース,10,1,1191,910,
デュアルトゥース,10,5,1426,1131,
アンバースラッシュ改,4,1,234,117,
アンバースラッシュ改,5,1,334,181,
アンバースラッシュ改,6,1,430,251,
アンバースラッシュ改,7,1,555,349,
アンバースラッシュ改,8,1,716,481,
アンバースラッシュ改,9,1,923,663,
アンバースラッシュ改,10,1,1191,910,
アンバースラッシュ改,10,5,1426,1131,
アンバースラッシュ改,1,1,1426,1141,
アンバースラッシュ改,2,1,1441,1141,
アンバースラッシュ改,3,1,1441,1157,
アンバースラッシュ改,4,1,1465,1157,
アンバースラッシュ改,5,1,1465,1157,
アンバースラッシュ改,6,1,1465,1167,
アンバースラッシュ改,7,1,1480,1167,
アンバースラッシュ改,8,1,1480,1183,
アンバースラッシュ改,9,1,1504,1183,
アンバースラッシュ改,10,1,1504,1183,
アンバースラッシュ改,11,1,1504,1193,
アンバースラッシュ改,12,1,1519,1193,
アンバースラッシュ改,13,1,1519,1209,
アンバースラッシュ改,14,1,1543,1209,
アンバースラッシュ改,15,1,1543,1209,
アンバースラッシュ改,16,1,1543,1219,
アンバースラッシュ改,17,1,1558,1219,
アンバースラッシュ改,18,1,1558,1235,
アンバースラッシュ改,19,1,1582,1235,
アンバースラッシュ改,20,1,1582,1235,
アンバースラッシュ,4,1,234,117,
アンバースラッシュ,5,1,334,181,
アンバースラッシュ,6,1,430,251,
アンバースラッシュ,7,1,555,349,
アンバースラッシュ,8,1,716,481,
アンバースラッシュ,9,1,923,663,
アンバースラッシュ,10,1,1191,910,
アンバースラッシュ,10,5,1426,1131,
ヴァイスリッター改,4,1,234,117,
ヴァイスリッター改,5,1,334,181,
ヴァイスリッター改,6,1,430,251,
ヴァイスリッター改,7,1,555,349,
ヴァイスリッター改,8,1,716,481,
ヴァイスリッター改,9,1,923,663,
ヴァイスリッター改,10,1,1191,910,
ヴァイスリッター改,10,5,1426,1131,
ヴァイスリッター改,1,1,1426,1141,
ヴァイスリッター改,2,1,1441,1141,
ヴァイスリッター改,3,1,1441,1157,
ヴァイスリッター改,4,1,1465,1157,
ヴァイスリッター改,5,1,1465,1157,
ヴァイスリッター改,6,1,1465,1167,
ヴァイスリッター改,7,1,1480,1167,
ヴァイスリッター改,8,1,1480,1183,
ヴァイスリッター改,9,1,1504,1183,
ヴァイスリッター改,10,1,1504,1183,
ヴァイスリッター改,11,1,1504,1193,
ヴァイスリッター改,12,1,1519,1193,
ヴァイスリッター改,13,1,1519,1209,
ヴァイスリッター改,14,1,1543,1209,
ヴァイスリッター改,15,1,1543,1209,
ヴァイスリッター改,16,1,1543,1219,
ヴァイスリッター改,17,1,1558,1219,
ヴァイスリッター改,18,1,1558,1235,
ヴァイスリッター改,19,1,1582,1235,
ヴァイスリッター改,20,1,1582,1235,
ヴァイスリッター,4,1,234,117,
ヴァイスリッター,5,1,334,181,
ヴァイスリッター,6,1,430,251,
ヴァイスリッター,7,1,555,349,
ヴァイスリッター,8,1,716,481,
ヴァイスリッター,9,1,923,663,
ヴァイスリッター,10,1,1191,910,
ヴァイスリッター,10,5,1426,1131,
ブリザードカノン改,4,1,234,117,
ブリザードカノン改,5,1,334,181,
ブリザードカノン改,6,1,430,251,
ブリザードカノン改,7,1,555,349,
ブリザードカノン改,8,1,716,481,
ブリザードカノン改,9,1,923,663,
ブリザードカノン改,10,1,1191,910,
ブリザードカノン改,10,5,1426,1131,
ブリザードカノン改,1,1,1426,1141,
ブリザードカノン改,2,1,1441,1141,
ブリザードカノン改,3,1,1441,1157,
ブリザードカノン改,4,1,1465,1157,
ブリザードカノン改,5,1,1465,1157,
ブリザードカノン改,6,1,1465,1167,
ブリザードカノン改,7,1,1480,1167,
ブリザードカノン改,8,1,1480,1183,
ブリザードカノン改,9,1,1504,1183,
ブリザードカノン改,10,1,1504,1183,
ブリザードカノン改,11,1,1504,1193,
ブリザードカノン改,12,1,1519,1193,
ブリザードカノン改,13,1,1519,1209,
ブリザードカノン改,14,1,1543,1209,
ブリザードカノン改,15,1,1543,1209,
ブリザードカノン改,16,1,1543,1219,
ブリザードカノン改,17,1,1558,1219,
ブリザードカノン改,18,1,1558,1235,
ブリザードカノン改,19,1,1582,1235,
ブリザードカノン改,20,1,1582,1235,
ブリザードカノン,4,1,234,117,
ブリザードカノン,5,1,334,181,
ブリザードカノン,6,1,430,251,
ブリザードカノン,7,1,555,349,
ブリザードカノン,8,1,716,481,
ブリザードカノン,9,1,923,663,
ブリザードカノン,10,1,1191,910,
ブリザードカノン,10,5,1426,1131,
アイシクルアサルト,4,1,234,117,
アイシクルアサルト,5,1,334,181,
アイシクルアサルト,6,1,430,251,
アイシクルアサルト,7,1,555,349,
アイシクルアサルト,8,1,716,481,
アイシクルアサルト,9,1,923,663,
アイシクルアサルト,10,1,1191,910,
アイシクルアサルト,10,5,1426,1131,
アイシクルアサルト,1,1,1426,1141,
アイシクルアサルト,2,1,1441,1141,
アイシクルアサルト,3,1,1441,1157,
アイシクルアサルト,4,1,1465,1157,
アイシクルアサルト,5,1,1465,1157,
アイシクルアサルト,6,1,1465,1167,
アイシクルアサルト,7,1,1480,1167,
アイシクルアサルト,8,1,1480,1183,
アイシクルアサルト,9,1,1504,1183,
アイシクルアサルト,10,1,1504,1183,
アイシクルアサルト,11,1,1504,1193,
アイシクルアサルト,12,1,1519,1193,
アイシクルアサルト,13,1,1519,1209,
アイシクルアサルト,14,1,1543,1209,
アイシクルアサルト,15,1,1543,1209,
アイシクルアサルト,16,1,1543,1219,
アイシクルアサルト,17,1,1558,1219,
アイシクルアサルト,18,1,1558,1235,
アイシクルアサルト,19,1,1582,1235,
アイシクルアサルト,20,1,1582,1235,
アイシクルブリザード,4,1,234,117,
アイシクルブリザード,5,1,334,181,
アイシクルブリザード,6,1,430,251,
アイシクルブリザード,7,1,555,349,
アイシクルブリザード,8,1,716,481,
アイシクルブリザード,9,1,923,663,
アイシクルブリザード,10,1,1191,910,
アイシクルブリザード,10,5,1426,1131,
アイシクルブリザード,1,1,1426,1141,
アイシクルブリザード,2,1,1441,1141,
アイシクルブリザード,3,1,1441,1157,
アイシクルブリザード,4,1,1465,1157,
アイシクルブリザード,5,1,1465,1157,
アイシクルブリザード,6,1,1465,1167,
アイシクルブリザード,7,1,1480,1167,
アイシクルブリザード,8,1,1480,1183,
アイシクルブリザード,9,1,1504,1183,
アイシクルブリザード,10,1,1504,1183,
アイシクルブリザード,11,1,1504,1193,
アイシクルブリザード,12,1,1519,1193,
アイシクルブリザード,13,1,1519,1209,
アイシクルブリザード,14,1,1543,1209,
アイシクルブリザード,15,1,1543,1209,
アイシクルブリザード,16,1,1543,1219,
アイシクルブリザード,17,1,1558,1219,
アイシクルブリザード,18,1,1558,1235,
アイシクルブリザード,19,1,1582,1235,
アイシクルブリザード,20,1,1582,1235,
アイシクルホルン,4,1,234,117,
アイシクルホルン,5,1,334,181,
アイシクルホルン,6,1,430,251,
アイシクルホルン,7,1,555,349,
アイシクルホルン,8,1,716,481,
アイシクルホルン,9,1,923,663,
アイシクルホルン,10,1,1191,910,
アイシクルホルン,10,5,1426,1131,
アイシクルホルン,1,1,1426,1141,
アイシクルホルン,2,1,1441,1141,
アイシクルホルン,3,1,1441,1157,
アイシクルホルン,4,1,1465,1157,
アイシクルホルン,5,1,1465,1157,
アイシクルホルン,6,1,1465,1167,
アイシクルホルン,7,1,1480,1167,
アイシクルホルン,8,1,1480,1183,
アイシクルホルン,9,1,1504,1183,
アイシクルホルン,10,1,1504,1183,
アイシクルホルン,11,1,1504,1193,
アイシクルホルン,12,1,1519,1193,
アイシクルホルン,13,1,1519,1209,
アイシクルホルン,14,1,1543,1209,
アイシクルホルン,15,1,1543,1209,
アイシクルホルン,16,1,1543,1219,
アイシクルホルン,17,1,1558,1219,
アイシクルホルン,18,1,1558,1235,
アイシクルホルン,19,1,1582,1235,
アイシクルホルン,20,1,1582,1235,
巨牛の大骨,3,1,236,,
巨牛の大骨,4,1,339,,
巨牛の大骨,5,1,486,,
巨牛の大骨,6,1,629,,
巨牛の大骨,7,1,814,,
巨牛の大骨,8,1,1054,,
巨牛の大骨,9,1,1364,,
巨牛の大骨,10,1,1764,,
巨牛の大骨,10,5,2113,,
巨牛の大骨,1,1,2129,,
巨牛の大骨,2,1,2152,,
巨牛の大骨,3,1,2178,,
巨牛の大骨,4,1,2211,,
巨牛の大骨,5,1,2211,,
巨牛の大骨,6,1,2227,,
巨牛の大骨,7,1,2250,,
巨牛の大骨,8,1,2276,,
巨牛の大骨,9,1,2309,,
巨牛の大骨,10,1,2309,,
巨牛の大骨,11,1,2325,,
巨牛の大骨,12,1,2348,,
巨牛の大骨,13,1,2374,,
巨牛の大骨,14,1,2407,,
巨牛の大骨,15,1,2407,,
巨牛の大骨,16,1,2423,,
巨牛の大骨,17,1,2446,,
巨牛の大骨,18,1,2472,,
巨牛の大骨,19,1,2505,,
巨牛の大骨,20,1,2505,,
巨牛の大斧,3,1,236,,
巨牛の大斧,4,1,339,,
巨牛の大斧,5,1,486,,
巨牛の大斧,6,1,629,,
巨牛の大斧,7,1,814,,
巨牛の大斧,8,1,1054,,
巨牛の大斧,9,1,1364,,
巨牛の大斧,10,1,1764,,
巨牛の大斧,10,5,2113,,
巨牛の大斧,1,1,2129,,
巨牛の大斧,2,1,2152,,
巨牛の大斧,3,1,2178,,
巨牛の大斧,4,1,2211,,
巨牛の大斧,5,1,2211,,
巨牛の大斧,6,1,2227,,
巨牛の大斧,7,1,2250,,
巨牛の大斧,8,1,2276,,
巨牛の大斧,9,1,2309,,
巨牛の大斧,10,1,2309,,
巨牛の大斧,11,1,2325,,
巨牛の大斧,12,1,2348,,
巨牛の大斧,13,1,2374,,
巨牛の大斧,14,1,2407,,
巨牛の大斧,15,1,2407,,
巨牛の大斧,16,1,2423,,
巨牛の大斧,17,1,2446,,
巨牛の大斧,18,1,2472,,
巨牛の大斧,19,1,2505,,
巨牛の大斧,20,1,2505,,
巨牛の大太刀,3,1,236,,
巨牛の大太刀,4,1,339,,
巨牛の大太刀,5,1,486,,
巨牛の大太刀,6,1,629,,
巨牛の大太刀,7,1,814,,
巨牛の大太刀,8,1,1054,,
巨牛の大太刀,9,1,1364,,
巨牛の大太刀,10,1,1764,,
巨牛の大太刀,10,5,2113,,
巨牛の大太刀,1,1,2129,,
巨牛の大太刀,2,1,2152,,
巨牛の大太刀,3,1,2178,,
巨牛の大太刀,4,1,2211,,
巨牛の大太刀,5,1,2211,,
巨牛の大太刀,6,1,2227,,
巨牛の大太刀,7,1,2250,,
巨牛の大太刀,8,1,2276,,
巨牛の大太刀,9,1,2309,,
巨牛の大太刀,10,1,2309,,
巨牛の大太刀,11,1,2325,,
巨牛の大太刀,12,1,2348,,
巨牛の大太刀,13,1,2374,,
巨牛の大太刀,14,1,2407,,
巨牛の大太刀,15,1,2407,,
巨牛の大太刀,16,1,2423,,
巨牛の大太刀,17,1,2446,,
巨牛の大太刀,18,1,2472,,
巨牛の大太刀,19,1,2505,,
巨牛の大太刀,20,1,2505,,
巨牛の大蹄,3,1,236,,
巨牛の大蹄,4,1,339,,
巨牛の大蹄,5,1,486,,
巨牛の大蹄,6,1,629,,
巨牛の大蹄,7,1,814,,
巨牛の大蹄,8,1,1054,,
巨牛の大蹄,9,1,1364,,
巨牛の大蹄,10,1,1764,,
巨牛の大蹄,10,5,2113,,
巨牛の大蹄,1,1,2129,,
巨牛の大蹄,2,1,2152,,
巨牛の大蹄,3,1,2178,,
巨牛の大蹄,4,1,2211,,
巨牛の大蹄,5,1,2211,,
巨牛の大蹄,6,1,2227,,
巨牛の大蹄,7,1,2250,,
巨牛の大蹄,8,1,2276,,
巨牛の大蹄,9,1,2309,,
巨牛の大蹄,10,1,2309,,
巨牛の大蹄,11,1,2325,,
巨牛の大蹄,12,1,2348,,
巨牛の大蹄,13,1,2374,,
巨牛の大蹄,14,1,2407,,
巨牛の大蹄,15,1,2407,,
巨牛の大蹄,16,1,2423,,
巨牛の大蹄,17,1,2446,,
巨牛の大蹄,18,1,2472,,
巨牛の大蹄,19,1,2505,,
巨牛の大蹄,20,1,2505,,
巨牛の大銃槍,3,1,236,,
巨牛の大銃槍,4,1,339,,
巨牛の大銃槍,5,1,486,,
巨牛の大銃槍,6,1,629,,
巨牛の大銃槍,7,1,814,,
巨牛の大銃槍,8,1,1054,,
巨牛の大銃槍,9,1,1364,,
巨牛の大銃槍,10,1,1764,,
巨牛の大銃槍,10,5,2113,,
巨牛の大銃槍,1,1,2129,,
巨牛の大銃槍,2,1,2152,,
巨牛の大銃槍,3,1,2178,,
巨牛の大銃槍,4,1,2211,,
巨牛の大銃槍,5,1,2211,,
巨牛の大銃槍,6,1,2227,,
巨牛の大銃槍,7,1,2250,,
巨牛の大銃槍,8,1,2276,,
巨牛の大銃槍,9,1,2309,,
巨牛の大銃槍,10,1,2309,,
巨牛の大銃槍,11,1,2325,,
巨牛の大銃槍,12,1,2348,,
巨牛の大銃槍,13,1,2374,,
巨牛の大銃槍,14,1,2407,,
巨牛の大銃槍,15,1,2407,,
巨牛の大銃槍,16,1,2423,,
巨牛の大銃槍,17,1,2446,,
巨牛の大銃槍,18,1,2472,,
巨牛の大銃槍,19,1,2505,,
巨牛の大銃槍,20,1,2505,,
巨牛の大剣斧,3,1,236,,
巨牛の大剣斧,4,1,339,,
巨牛の大剣斧,5,1,486,,
巨牛の大剣斧,6,1,629,,
巨牛の大剣斧,7,1,814,,
巨牛の大剣斧,8,1,1054,,
巨牛の大剣斧,9,1,1364,,
巨牛の大剣斧,10,1,1764,,
巨牛の大剣斧,10,5,2113,,
巨牛の大剣斧,1,1,2129,,
巨牛の大剣斧,2,1,2152,,
巨牛の大剣斧,3,1,2178,,
巨牛の大剣斧,4,1,2211,,
巨牛の大剣斧,5,1,2211,,
巨牛の大剣斧,6,1,2227,,
巨牛の大剣斧,7,1,2250,,
巨牛の大剣斧,8,1,2276,,
巨牛の大剣斧,9,1,2309,,
巨牛の大剣斧,10,1,2309,,
巨牛の大剣斧,11,1,2325,,
巨牛の大剣斧,12,1,2348,,
巨牛の大剣斧,13,1,2374,,
巨牛の大剣斧,14,1,2407,,
巨牛の大剣斧,15,1,2407,,
巨牛の大剣斧,16,1,2423,,
巨牛の大剣斧,17,1,2446,,
巨牛の大剣斧,18,1,2472,,
巨牛の大剣斧,19,1,2505,,
巨牛の大剣斧,20,1,2505,,
巨牛の大弩,3,1,236,,
巨牛の大弩,4,1,339,,
巨牛の大弩,5,1,486,,
巨牛の大弩,6,1,629,,
巨牛の大弩,7,1,814,,
巨牛の大弩,8,1,1054,,
巨牛の大弩,9,1,1364,,
巨牛の大弩,10,1,1764,,
巨牛の大弩,10,5,2113,,
巨牛の大弩,1,1,2129,,
巨牛の大弩,2,1,2152,,
巨牛の大弩,3,1,2178,,
巨牛の大弩,4,1,2211,,
巨牛の大弩,5,1,2211,,
巨牛の大弩,6,1,2227,,
巨牛の大弩,7,1,2250,,
巨牛の大弩,8,1,2276,,
巨牛の大弩,9,1,2309,,
巨牛の大弩,10,1,2309,,
巨牛の大弩,11,1,2325,,
巨牛の大弩,12,1,2348,,
巨牛の大弩,13,1,2374,,
巨牛の大弩,14,1,2407,,
巨牛の大弩,15,1,2407,,
巨牛の大弩,16,1,2423,,
巨牛の大弩,17,1,2446,,
巨牛の大弩,18,1,2472,,
巨牛の大弩,19,1,2505,,
巨牛の大弩,20,1,2505,,
巨牛の大弓,3,1,236,,
巨牛の大弓,4,1,339,,
巨牛の大弓,5,1,486,,
巨牛の大弓,6,1,629,,
巨牛の大弓,7,1,814,,
巨牛の大弓,8,1,1054,,
巨牛の大弓,9,1,1364,,
巨牛の大弓,10,1,1764,,
巨牛の大弓,10,5,2113,,
巨牛の大弓,1,1,2129,,
巨牛の大弓,2,1,2152,,
巨牛の大弓,3,1,2178,,
巨牛の大弓,4,1,2211,,
巨牛の大弓,5,1,2211,,
巨牛の大弓,6,1,2227,,
巨牛の大弓,7,1,2250,,
巨牛の大弓,8,1,2276,,
巨牛の大弓,9,1,2309,,
巨牛の大弓,10,1,2309,,
巨牛の大弓,11,1,2325,,
巨牛の大弓,12,1,2348,,
巨牛の大弓,13,1,2374,,
巨牛の大弓,14,1,2407,,
巨牛の大弓,15,1,2407,,
巨牛の大弓,16,1,2423,,
巨牛の大弓,17,1,2446,,
巨牛の大弓,18,1,2472,,
巨牛の大弓,19,1,2505,,
巨牛の大弓,20,1,2505,,
バルキンガロテ,2,1,144,100,
バルキンガロテ,3,1,207,150,
バルキンガロテ,4,1,299,200,
バルキンガロテ,5,1,430,250,
バルキンガロテ,6,1,559,300,
バルキンガロテ,7,1,727,325,
バルキンガロテ,8,1,945,350,
バルキンガロテ,9,1,1228,375,
バルキンガロテ,10,1,1596,400,
バルキンガロテ,10,5,1912,417,
バルキンガロテ,1,1,1912,421,
バルキンガロテ,2,1,1922,421,
バルキンガロテ,3,1,1922,427,
バルキンガロテ,4,1,1937,427,
バルキンガロテ,5,1,1937,427,
バルキンガロテ,6,1,1937,431,
バルキンガロテ,7,1,1947,431,
バルキンガロテ,8,1,1947,437,
バルキンガロテ,9,1,1962,437,
バルキンガロテ,10,1,1962,437,
バルキンガロテ,11,1,1962,441,
バルキンガロテ,12,1,1972,441,
バルキンガロテ,13,1,1972,447,
バルキンガロテ,14,1,1987,447,
バルキンガロテ,15,1,1987,447,
バルキンガロテ,16,1,1987,451,
バルキンガロテ,17,1,1997,451,
バルキンガロテ,18,1,1997,457,
バルキンガロテ,19,1,2012,457,
バルキンガロテ,20,1,2012,457,
スパイクエッジ,2,1,144,100,
スパイクエッジ,3,1,207,150,
スパイクエッジ,4,1,299,200,
スパイクエッジ,5,1,430,250,
スパイクエッジ,6,1,559,300,
スパイクエッジ,7,1,727,325,
スパイクエッジ,8,1,945,350,
スパイクエッジ,9,1,1228,375,
スパイクエッジ,10,1,1596,400,
スパイクエッジ,10,5,1912,417,
塊剣ラドバルク,2,1,144,100,
塊剣ラドバルク,3,1,207,150,
塊剣ラドバルク,4,1,299,200,
塊剣ラドバルク,5,1,430,250,
塊剣ラドバルク,6,1,559,300,
塊剣ラドバルク,7,1,727,325,
塊剣ラドバルク,8,1,945,350,
塊剣ラドバルク,9,1,1228,375,
塊剣ラドバルク,10,1,1596,400,
塊剣ラドバルク,10,5,1912,417,
塊剣ラドバルク,1,1,1912,421,
塊剣ラドバルク,2,1,1922,421,
塊剣ラドバルク,3,1,1922,427,
塊剣ラドバルク,4,1,1937,427,
塊剣ラドバルク,5,1,1937,427,
塊剣ラドバルク,6,1,1937,431,
塊剣ラドバルク,7,1,1947,431,
塊剣ラドバルク,8,1,1947,437,
塊剣ラドバルク,9,1,1962,437,
塊剣ラドバルク,10,1,1962,437,
塊剣ラドバルク,11,1,1962,441,
塊剣ラドバルク,12,1,1972,441,
塊剣ラドバルク,13,1,1972,447,
塊剣ラドバルク,14,1,1987,447,
塊剣ラドバルク,15,1,1987,447,
塊剣ラドバルク,16,1,1987,451,
塊剣ラドバルク,17,1,1997,451,
塊剣ラドバルク,18,1,1997,457,
塊剣ラドバルク,19,1,2012,457,
塊剣ラドバルク,20,1,2012,457,
スパイクブレイド,2,1,144,100,
スパイクブレイド,3,1,207,150,
スパイクブレイド,4,1,299,200,
スパイクブレイド,5,1,430,250,
スパイクブレイド,6,1,559,300,
スパイクブレイド,7,1,727,325,
スパイクブレイド,8,1,945,350,
スパイクブレイド,9,1,1228,375,
スパイクブレイド,10,1,1596,400,
スパイクブレイド,10,5,1912,417,
バルキンストライク,2,1,144,100,
バルキンストライク,3,1,207,150,
バルキンストライク,4,1,299,200,
バルキンストライク,5,1,430,250,
バルキンストライク,6,1,559,300,
バルキンストライク,7,1,727,325,
バルキンストライク,8,1,945,350,
バルキンストライク,9,1,1228,375,
バルキンストライク,10,1,1596,400,
バルキンストライク,10,5,1912,417,
バルキンストライク,1,1,1912,421,
バルキンストライク,2,1,1922,421,
バルキンストライク,3,1,1922,427,
バルキンストライク,4,1,1937,427,
バルキンストライク,5,1,1937,427,
バルキンストライク,6,1,1937,431,
バルキンストライク,7,1,1947,431,
バルキンストライク,8,1,1947,437,
バルキンストライク,9,1,1962,437,
バルキンストライク,10,1,1962,437,
バルキンストライク,11,1,1962,441,
バルキンストライク,12,1,1972,441,
バルキンストライク,13,1,1972,447,
バルキンストライク,14,1,1987,447,
バルキンストライク,15,1,1987,447,
バルキンストライク,16,1,1987,451,
バルキンストライク,17,1,1997,451,
バルキンストライク,18,1,1997,457,
バルキンストライク,19,1,2012,457,
バルキンストライク,20,1,2012,457,
ボーンスパイク,2,1,144,100,
ボーンスパイク,3,1,207,150,
ボーンスパイク,4,1,299,200,
ボーンスパイク,5,1,430,250,
ボーンスパイク,6,1,559,300,
ボーンスパイク,7,1,727,325,
ボーンスパイク,8,1,945,350,
ボーンスパイク,9,1,1228,375,
ボーンスパイク,10,1,1596,400,
ボーンスパイク,10,5,1912,417,
バルキンキャノン,2,1,158,,
バルキンキャノン,3,1,228,,
バルキンキャノン,4,1,329,,
